#{"t_start": 1648246275.7826424, "env_id": "HopperBulletEnv-v0"}
r,l,t
35.32518,37,1.595498
18.94971,11,1.612446
23.721001,11,1.628585
18.18598,7,1.639428
17.874184,8,1.651489
21.341438,9,1.664427
17.231199,9,1.678634
18.619817,7,1.689035
21.245374,9,1.70362
27.197804,26,1.740276
20.102735,8,1.751766
22.770056,26,1.78888
17.789636,7,1.799935
32.268333,22,1.830552
26.230955,22,1.861185
23.169656,11,1.876591
27.869136,20,1.905061
18.285589,12,1.922693
25.629612,32,1.966835
23.407256,16,1.989754
16.099688,10,2.003911
15.154778,8,2.016281
22.124597,17,2.040349
19.235721,11,2.056108
21.270062,10,2.071416
15.921471,14,2.090849
20.81525,17,2.114767
21.704695,14,2.135068
26.644967,20,2.164005
21.518489,14,2.184576
23.396022,15,2.207916
23.437034,13,2.227926
30.958282,22,2.260644
18.782068,13,2.279544
23.196835,12,2.297505
33.819793,39,2.352639
33.436487,21,2.383346
21.207181,10,2.39737
21.494717,12,2.415777
17.622105,9,2.428342
20.710801,13,2.44829
14.519597,15,2.47023
18.811527,9,2.483154
12.412871,14,2.503563
16.970878,7,2.514
20.911781,9,2.527389
19.175152,11,2.543533
15.463258,7,2.5536
17.638443,7,2.565799
12.769503,12,2.582682
16.184892,9,2.596953
16.570399,11,2.612273
18.645078,10,2.628004
16.401447,8,2.639371
22.012221,17,2.663764
25.594907,21,2.693748
20.90441,12,2.711641
19.209625,10,2.726236
20.138014,16,2.749634
14.779131,5,2.757079
22.078164,10,2.771849
22.607083,13,2.790459
23.410642,14,2.810972
17.277014,8,2.822519
17.384158,14,2.842997
16.625516,6,2.851826
22.255857,9,2.865503
18.782638,7,2.875997
21.954919,13,2.894576
26.120908,18,2.920622
23.072075,18,2.94653
19.850421,17,2.971142
14.995367,13,2.990225
